Area u^2;Convex Area u^2;Perimeter u;Convex Perimeter u;Length (Feret) u;Fiber Length u;Width u;Equivalent Diameter (ArEquivD) u;Inscribed Radius (MinR) u;Form Factor (Circ);Roundness;Convexity;Solidity;Compactness;Aspect Ratio;Elongation;Curl;L1;L2;Subtribe;;
315.62;354.469;92.259;76.054;30.882;35.9;13.418;20.046;4.591;0.466;0.421;0.824;0.89;0.649;2.302;2.675;0.86;2.118;1.461337399;Agrostidinae;;
273.381;306.048;78.203;70.791;28.949;29.089;12.395;18.657;4.869;0.562;0.415;0.905;0.893;0.644;2.336;2.347;0.995;1.3285;1.272848634;Agrostidinae;;
340.772;391.756;95.237;85.655;37.491;38.413;12.115;20.83;4.416;0.472;0.309;0.899;0.87;0.556;3.095;3.171;0.976;1.6415;1.371716486;Agrostidinae;;
642.197;728.152;140.854;128.964;56.805;62.31;14.511;28.595;4.598;0.407;0.253;0.916;0.882;0.503;3.915;4.294;0.912;2.6575;1.577968682;Agrostidinae;;
295.874;338.651;85.626;70.384;27.19;33.631;14.615;19.409;4.031;0.507;0.51;0.822;0.874;0.714;1.86;2.301;0.808;3.2765;1.812825602;Agrostidinae;;
217.901;239.716;69.337;63.994;26.621;27.739;10.612;16.657;4.095;0.57;0.391;0.923;0.909;0.626;2.509;2.614;0.96;1.211;1.295726496;Agrostidinae;;
306.079;349.219;86.165;72.001;27.58;31.88;14.692;19.741;4.425;0.518;0.512;0.836;0.876;0.716;1.877;2.17;0.865;2.921;1.660112994;Agrostidinae;;
390.99;451.71;109.208;97.687;43.361;46.065;12.198;22.312;3.395;0.412;0.265;0.894;0.866;0.515;3.555;3.776;0.941;2.704;1.79646539;Agrostidinae;;
302.841;342.449;88.048;77.028;31.189;34.646;12.342;19.636;4.425;0.491;0.396;0.875;0.884;0.63;2.527;2.807;0.9;1.746;1.394576271;Agrostidinae;;
474.253;568.238;119.245;105.34;46.72;50.223;15.364;24.573;4.168;0.419;0.277;0.883;0.835;0.526;3.041;3.269;0.93;3.514;1.843090211;Agrostidinae;;
273.641;310.609;84.091;75.861;32.242;34.26;11.973;18.666;4.027;0.486;0.335;0.902;0.881;0.579;2.693;2.861;0.941;1.9595;1.486590514;Agrostidinae;;
345.485;401.597;92.111;81.584;32.519;38.411;13.903;20.973;3.917;0.512;0.416;0.886;0.86;0.645;2.339;2.763;0.847;3.0345;1.774700026;Agrostidinae;;
283.326;307.933;76.313;66.309;24.61;27.933;15.285;18.993;5.676;0.611;0.596;0.869;0.92;0.772;1.61;1.827;0.881;1.9665;1.346458774;Agrostidinae;;
201.162;218.712;73.991;67.386;29.863;32.487;8.664;16.004;3.521;0.462;0.287;0.911;0.92;0.536;3.447;3.75;0.919;0.811;1.230332292;Agrostidinae;;
277.978;314.798;78.818;71.349;29.424;30.552;12.573;18.813;3.459;0.562;0.409;0.905;0.883;0.639;2.34;2.43;0.963;2.8275;1.817432784;Agrostidinae;;
337.39;399.767;107.023;97.282;42.036;47.627;10.354;20.726;3.232;0.37;0.243;0.909;0.844;0.493;4.06;4.6;0.883;1.945;1.601794554;Agrostidinae;;
302.725;332.408;84.224;72.726;29.164;33.245;14.39;19.633;3.961;0.536;0.453;0.863;0.911;0.673;2.027;2.31;0.877;3.234;1.81646049;Agrostidinae;;
235.103;255.862;71.793;65.224;26.727;28.431;10.892;17.302;4.183;0.573;0.419;0.908;0.919;0.647;2.454;2.61;0.94;1.263;1.301936409;Agrostidinae;;
217.236;230.775;65.614;58.15;23.579;23.597;12.414;16.631;4.62;0.634;0.498;0.886;0.941;0.705;1.899;1.901;0.999;1.587;1.343506494;Agrostidinae;;
308.826;338.081;90.394;84.179;36.524;38.375;10.41;19.829;3.886;0.475;0.295;0.931;0.913;0.543;3.509;3.687;0.952;1.319;1.339423572;Agrostidinae;;
178.64;206.61;74.125;66.606;29.715;31.965;8.166;15.081;3.22;0.409;0.258;0.899;0.865;0.508;3.639;3.915;0.93;0.863;1.268012422;Agrostidinae;;
279.828;336.789;91.579;74.932;30.235;33.621;12.486;18.876;2.937;0.419;0.39;0.818;0.831;0.624;2.421;2.693;0.899;3.306;2.125638407;Agrostidinae;;
202.347;239.837;68.468;59.362;23.247;27.075;12.279;16.051;3.89;0.542;0.477;0.867;0.844;0.69;1.893;2.205;0.859;2.2495;1.578277635;Agrostidinae;;
416.229;486.691;117.778;102.638;45.849;48.962;12.822;23.021;4.407;0.377;0.252;0.871;0.855;0.502;3.576;3.819;0.936;2.004;1.45473111;Agrostidinae;;
363.987;422.825;99.418;87.725;37.333;38.489;13.075;21.528;3.03;0.463;0.333;0.882;0.861;0.577;2.855;2.944;0.97;3.5075;2.157590759;Agrostidinae;;
337.65;369.963;91.438;79.889;33.832;38.603;13.59;20.734;4.692;0.507;0.376;0.874;0.913;0.613;2.489;2.841;0.876;2.103;1.448209719;Agrostidinae;;
487.061;566.785;122.896;103.436;43.489;48.919;14.52;24.903;2.729;0.405;0.328;0.842;0.859;0.573;2.995;3.369;0.889;4.531;2.660315134;Agrostidinae;;
310.271;340.332;82.383;73.964;29.84;32.06;13.169;19.876;4.348;0.574;0.444;0.898;0.912;0.666;2.266;2.435;0.931;2.2365;1.514374425;Agrostidinae;;
222.122;252.673;75.908;65.315;27.841;28.712;11.083;16.817;3.792;0.484;0.365;0.86;0.879;0.604;2.512;2.591;0.97;1.7495;1.461366034;Agrostidinae;;
359.622;401.98;91.754;74.833;27.781;34.952;17.129;21.398;5.85;0.537;0.593;0.816;0.895;0.77;1.622;2.041;0.795;2.7145;1.464017094;Agrostidinae;;
592.412;717.656;147.392;126.871;55.817;60.087;14.78;27.464;4.741;0.343;0.242;0.861;0.825;0.492;3.776;4.065;0.929;2.649;1.558742881;Agrostidinae;;
438.635;545.072;110.929;95.992;38.22;43.347;15.982;23.632;5.211;0.448;0.382;0.865;0.805;0.618;2.391;2.712;0.882;2.78;1.533486855;Agrostidinae;;
198.126;225.528;67.448;58.466;23.137;25.657;11.227;15.883;3.697;0.547;0.471;0.867;0.878;0.686;2.061;2.285;0.902;1.9165;1.518393292;Agrostidinae;;
430.309;490.962;105.007;87.955;35.116;37.782;16.254;23.407;4.353;0.49;0.444;0.838;0.876;0.667;2.16;2.324;0.929;3.774;1.866988284;Agrostidinae;;
340.599;391.956;99.741;76.069;28.978;35.132;15.825;20.825;4.577;0.43;0.516;0.763;0.869;0.719;1.831;2.22;0.825;3.3355;1.728752458;Agrostidinae;;
411.025;506.31;124.8;106.201;47.779;51.618;12.202;22.876;4.438;0.332;0.229;0.851;0.812;0.479;3.916;4.23;0.926;1.663;1.374718342;Agrostidinae;;
366.936;406.217;99.94;83.163;35.064;40.282;13.81;21.615;3.828;0.462;0.38;0.832;0.903;0.616;2.539;2.917;0.87;3.077;1.803814002;Agrostidinae;;
479.746;549.618;121.577;105.671;45.16;49.709;13.367;24.715;4.721;0.408;0.3;0.869;0.873;0.547;3.379;3.719;0.908;1.9625;1.415695827;Agrostidinae;;
282.488;321.842;79.879;67.23;25.533;29.708;15.341;18.965;4.37;0.556;0.552;0.842;0.878;0.743;1.664;1.937;0.859;3.3005;1.755263158;Agrostidinae;;
171.355;182.537;61.196;56.509;23.722;26.119;9.248;14.771;3.568;0.575;0.388;0.923;0.939;0.623;2.565;2.824;0.908;1.056;1.295964126;Agrostidinae;;
248.662;270.292;77.938;69.701;29.863;32.259;11.278;17.793;3.53;0.514;0.355;0.894;0.92;0.596;2.648;2.86;0.926;2.109;1.597450425;Agrostidinae;;
180.837;201.244;63.94;56.036;22.506;23.604;10.278;15.174;3.387;0.556;0.455;0.876;0.899;0.674;2.19;2.297;0.953;1.752;1.517271922;Agrostidinae;;
320.534;369.526;94.426;83.882;35.473;40.058;12.096;20.202;3.031;0.452;0.324;0.888;0.867;0.57;2.933;3.312;0.886;3.017;1.995381062;Agrostidinae;;
250.802;296.035;83.603;74.864;31.701;34.686;10.838;17.87;3.029;0.451;0.318;0.895;0.847;0.564;2.925;3.201;0.914;2.39;1.789039287;Agrostidinae;;
335.713;419.467;116.503;98.576;43.694;49.716;10.758;20.675;2.361;0.311;0.224;0.846;0.8;0.473;4.062;4.621;0.879;3.018;2.278271919;Agrostidinae;;
303.679;330.746;82.765;70.824;27.396;31.244;13.76;19.664;4.554;0.557;0.515;0.856;0.918;0.718;1.991;2.271;0.877;2.326;1.510759772;Agrostidinae;;
271.184;312.533;93.729;81.764;35.956;39.459;10.492;18.582;3.872;0.388;0.267;0.872;0.868;0.517;3.427;3.761;0.911;1.374;1.354855372;Agrostidinae;;
593.019;705.074;145.328;116.953;50.539;54.34;15.703;27.478;3.323;0.353;0.296;0.805;0.841;0.544;3.218;3.461;0.93;4.5285;2.362774601;Agrostidinae;;
335.655;370.636;91.49;77.339;29.961;34.506;14.267;20.673;3.892;0.504;0.476;0.845;0.906;0.69;2.1;2.419;0.868;3.2415;1.832862282;Agrostidinae;;
334.065;377.272;89.109;79.391;31.874;35.256;13.932;20.624;3.772;0.529;0.419;0.891;0.885;0.647;2.288;2.531;0.904;3.194;1.846765642;Agrostidinae;;
174.477;200.071;66.087;59.242;24.937;26.22;9.319;14.905;2.81;0.502;0.357;0.896;0.872;0.598;2.676;2.814;0.951;1.8495;1.658185053;Agrostidinae;;
393.968;438.887;103.248;90.605;38.914;39.944;12.846;22.397;4.127;0.464;0.331;0.878;0.898;0.576;3.029;3.109;0.974;2.296;1.556336322;Agrostidinae;;
356.933;389.234;88.611;76.132;29.534;34.212;15.444;21.318;5.432;0.571;0.521;0.859;0.917;0.722;1.912;2.215;0.863;2.29;1.421575847;Agrostidinae;;
432.998;487.491;105.628;86.958;34.248;39.582;16.801;23.48;4.395;0.488;0.47;0.823;0.888;0.686;2.038;2.356;0.865;4.0055;1.911376564;Agrostidinae;;
313.712;378.77;109.806;97.461;44.827;48.479;11.102;19.986;2.83;0.327;0.199;0.888;0.828;0.446;4.038;4.367;0.925;2.721;1.961484099;Agrostidinae;;
280.58;323.778;86.894;72.375;28.722;32.29;12.807;18.901;3.122;0.467;0.433;0.833;0.867;0.658;2.243;2.521;0.889;3.2815;2.051089045;Agrostidinae;;
278.44;315.414;84.905;71.086;28.346;30.699;13.016;18.829;2.622;0.485;0.441;0.837;0.883;0.664;2.178;2.359;0.923;3.886;2.482074752;Agrostidinae;;
526.987;649.697;141.604;114.139;49.492;54.967;14.892;25.903;1.524;0.33;0.274;0.806;0.811;0.523;3.323;3.691;0.9;5.922;4.885826772;Agrostidinae;;
339.818;380.704;96.457;87.684;38.22;39.699;12.209;20.801;4.347;0.459;0.296;0.909;0.893;0.544;3.13;3.252;0.963;1.7575;1.404301817;Agrostidinae;;
390.239;444.441;110.321;99.348;44.228;46.329;11.16;22.291;3.628;0.403;0.254;0.901;0.878;0.504;3.963;4.151;0.955;1.952;1.538037486;Agrostidinae;;
284.02;310.208;81.264;68.023;26.282;30.617;13.754;19.016;4.635;0.54;0.524;0.837;0.916;0.724;1.911;2.226;0.858;2.242;1.483710895;Agrostidinae;;
264.447;288.955;78.344;64.58;24.771;29.604;14.027;18.35;4.057;0.541;0.549;0.824;0.915;0.741;1.766;2.11;0.837;2.9565;1.728740449;Agrostidinae;;
470.032;576.266;127.654;99.931;40.706;49.074;16.036;24.464;3.788;0.362;0.361;0.783;0.816;0.601;2.538;3.06;0.829;4.23;2.116684266;Agrostidinae;;
283.24;343.727;99.864;76.539;31.398;36.668;12.39;18.99;2.278;0.357;0.366;0.766;0.824;0.605;2.534;2.959;0.856;3.917;2.719490781;Agrostidinae;;
408.857;473.761;110.712;83.845;32.487;39.028;17.17;22.816;5.085;0.419;0.493;0.757;0.863;0.702;1.892;2.273;0.832;3.5;1.688298918;Agrostidinae;;
249.211;292.242;82.923;70.458;28.821;35.215;12.001;17.813;3.316;0.455;0.382;0.85;0.853;0.618;2.402;2.934;0.818;2.6845;1.80955971;Agrostidinae;;
179.334;211.063;67.348;59.265;23.347;26.33;10.482;15.111;3.83;0.497;0.419;0.88;0.85;0.647;2.227;2.512;0.887;1.411;1.368407311;Agrostidinae;;
441.035;510.67;119.668;101.88;44.314;47.051;13.005;23.697;3.686;0.387;0.286;0.851;0.864;0.535;3.407;3.618;0.942;2.8165;1.764107434;Agrostidinae;;
338.98;380.88;95.213;75.354;29.648;35.713;15.718;20.775;5.103;0.47;0.491;0.791;0.89;0.701;1.886;2.272;0.83;2.756;1.540074466;Agrostidinae;;
239.844;275.435;79.539;69.134;28.849;32.529;11.222;17.475;2.38;0.476;0.367;0.869;0.871;0.606;2.571;2.899;0.887;3.231;2.357563025;Agrostidinae;;
477;542.587;108.497;90.148;35.684;40.85;19.517;24.644;5.125;0.509;0.477;0.831;0.879;0.691;1.828;2.093;0.874;4.6335;1.904097561;Agrostidinae;;
557.083;625.648;115.357;100.749;41.046;43.869;17.913;26.633;6.059;0.526;0.421;0.873;0.89;0.649;2.291;2.449;0.936;2.8975;1.478214227;Agrostidinae;;
337.158;363.108;85.75;78.715;33.682;35.244;13.298;20.719;4.877;0.576;0.378;0.918;0.929;0.615;2.533;2.65;0.956;1.772;1.363338118;Agrostidinae;;
275.087;333.886;95.014;78.453;33.649;37.612;11.603;18.715;2.639;0.383;0.309;0.826;0.824;0.556;2.9;3.242;0.895;3.1625;2.198370595;Agrostidinae;;
267.859;309.93;84.084;74.944;31.239;33.947;11.481;18.468;3.39;0.476;0.349;0.891;0.864;0.591;2.721;2.957;0.92;2.3505;1.693362832;Agrostidinae;;
185.434;203.63;66.826;58.275;24.643;26.15;10.134;15.366;3.208;0.522;0.389;0.872;0.911;0.624;2.432;2.58;0.942;1.859;1.579488778;Agrostidinae;;
253.664;275.974;74.846;66.084;26.316;28.564;12.534;17.971;4.71;0.569;0.466;0.883;0.919;0.683;2.1;2.279;0.921;1.557;1.330573248;Agrostidinae;;
323.223;362.211;90.112;71.465;26.265;32.682;15.871;20.286;4.69;0.5;0.597;0.793;0.892;0.772;1.655;2.059;0.804;3.2455;1.692004264;Agrostidinae;;
249.934;288.128;76.355;65.004;25.273;29.492;14.53;17.839;3.841;0.539;0.498;0.851;0.867;0.706;1.739;2.03;0.857;3.424;1.891434522;Agrostidinae;;
413.223;456.579;102.643;85.989;34.927;38.897;15.347;22.938;4.032;0.493;0.431;0.838;0.905;0.657;2.276;2.534;0.898;3.6415;1.903149802;Agrostidinae;;
258.954;277.031;70.848;64.046;24.53;26.981;12.752;18.158;5.173;0.648;0.548;0.904;0.935;0.74;1.924;2.116;0.909;1.203;1.232553644;Agrostidinae;;
434.964;505.128;114.536;94.935;38.789;46.475;15.243;23.533;4.259;0.417;0.368;0.829;0.861;0.607;2.545;3.049;0.835;3.3625;1.789504579;Agrostidinae;;
455.895;514.029;116.535;92.613;36.918;44.093;16.04;24.093;4.943;0.422;0.426;0.795;0.887;0.653;2.302;2.749;0.837;3.077;1.62249646;Agrostidinae;;
437.248;511.383;106.467;93.926;38.701;42.893;15.244;23.595;4.665;0.485;0.372;0.882;0.855;0.61;2.539;2.814;0.902;2.957;1.633869239;Agrostidinae;;
164.3;183.938;58.939;53.979;21.824;24.401;9.689;14.464;3.753;0.594;0.439;0.916;0.893;0.663;2.252;2.518;0.894;1.0915;1.290833999;Agrostidinae;;
235.623;263.992;80.525;72.544;32.675;34.343;10.287;17.321;1.968;0.457;0.281;0.901;0.893;0.53;3.176;3.338;0.951;3.1755;2.613567073;Agrostidinae;;
356.933;386.307;92.459;77.018;30.216;36.077;14.965;21.318;4.415;0.525;0.498;0.833;0.924;0.706;2.019;2.411;0.838;3.0675;1.694790487;Agrostidinae;;
275.231;313.127;82.964;74.145;31.935;33.327;12.717;18.72;3.142;0.502;0.344;0.894;0.879;0.586;2.511;2.621;0.958;3.2165;2.023711012;Agrostidinae;;
213.882;232.082;69.172;63.057;26.912;27.649;10.18;16.502;3.778;0.562;0.376;0.912;0.922;0.613;2.644;2.716;0.973;1.312;1.34727369;Agrostidinae;;
448.523;521.995;109.493;90.739;34.7;42.118;17.185;23.897;4.877;0.47;0.474;0.829;0.859;0.689;2.019;2.451;0.824;3.7155;1.761841296;Agrostidinae;;
315.07;371.486;91.682;78.695;33.153;35.586;13.111;20.029;4.107;0.471;0.365;0.858;0.848;0.604;2.529;2.714;0.932;2.4485;1.596177258;Agrostidinae;;
407.845;492.539;116.999;88.545;35.007;42.123;15.92;22.788;3.28;0.374;0.424;0.757;0.828;0.651;2.199;2.646;0.831;4.68;2.426829268;Agrostidinae;;
417.415;491.624;107.411;96.845;42.335;44.68;13.915;23.054;4.127;0.455;0.297;0.902;0.849;0.545;3.042;3.211;0.948;2.8305;1.685849285;Agrostidinae;;
259.244;277.065;77.632;68.068;27.94;30.377;11.6;18.168;4.355;0.541;0.423;0.877;0.936;0.65;2.409;2.619;0.92;1.445;1.331802526;Agrostidinae;;
220.127;247.334;71.635;64.166;26.441;27.204;11.148;16.741;3.801;0.539;0.401;0.896;0.89;0.633;2.372;2.44;0.972;1.773;1.466456196;Agrostidinae;;
451.211;539.887;116.435;102.534;44.556;47.19;13.979;23.969;4.507;0.418;0.289;0.881;0.836;0.538;3.187;3.376;0.944;2.4825;1.550809851;Agrostidinae;;
328.109;367.01;92.383;85.189;37.408;39.983;13.441;20.439;4.658;0.483;0.299;0.922;0.894;0.546;2.783;2.975;0.936;2.0625;1.442786604;Agrostidinae;;
321.431;343.062;85.461;78.136;33.145;35.859;12.061;20.23;4.361;0.553;0.373;0.914;0.937;0.61;2.748;2.973;0.924;1.6695;1.38282504;Agrostidinae;;
236.346;263.158;80.817;64.717;25.669;31.35;11.885;17.347;3.952;0.455;0.457;0.801;0.898;0.676;2.16;2.638;0.819;1.9905;1.503669028;Agrostidinae;;
473.76;532.532;123.543;114.879;51.138;55.387;11.352;24.56;4.765;0.39;0.231;0.93;0.89;0.48;4.505;4.879;0.923;0.911;1.191185729;Agrostidinae;;
192.826;206.991;61.943;56.689;23.344;25.345;11.355;15.669;4.342;0.632;0.451;0.915;0.932;0.671;2.056;2.232;0.921;1.3355;1.307577153;Agrostidinae;;
596.851;678.114;138.719;122.448;53.911;59.535;14.219;27.567;5.013;0.39;0.261;0.883;0.88;0.511;3.791;4.187;0.906;2.0965;1.418212647;Agrostidinae;;
506.891;546.049;110.488;100.327;42.019;45.178;15.518;25.405;6.31;0.522;0.366;0.908;0.928;0.605;2.708;2.911;0.93;1.449;1.229635499;Agrostidinae;;
285.969;316.381;79.687;71.7;28.374;31.932;13.751;19.082;5.617;0.566;0.452;0.9;0.904;0.673;2.063;2.322;0.889;1.2585;1.224051985;Agrostidinae;;
298.093;320.796;88.817;82.859;35.577;38.62;9.899;19.482;3.953;0.475;0.3;0.933;0.929;0.548;3.594;3.901;0.921;0.9965;1.252087023;Agrostidinae;;
513.401;573.396;114.409;100.312;40.562;45.452;15.732;25.567;5.322;0.493;0.397;0.877;0.895;0.63;2.578;2.889;0.892;2.544;1.478015784;Agrostidinae;;
548.037;608.101;116.275;102.974;41.2;45.921;16.762;26.416;5.762;0.509;0.411;0.886;0.901;0.641;2.458;2.74;0.897;2.619;1.454529677;Agrostidinae;;
491.092;543.073;109.367;95.208;38.771;42.564;16.744;25.006;6.421;0.516;0.416;0.871;0.904;0.645;2.316;2.542;0.911;1.951;1.303846753;Agrostidinae;;
293.55;313.048;79.112;73.325;28.984;31.439;12.857;19.333;5.047;0.589;0.445;0.927;0.938;0.667;2.254;2.445;0.922;1.3815;1.273726967;Agrostidinae;;
796.072;902.853;164.922;147.432;65.491;73.085;15.498;31.837;5.098;0.368;0.236;0.894;0.882;0.486;4.226;4.716;0.896;2.651;1.520007846;Agrostidinae;;
383.944;406.164;108.747;101.95;46.2;47.37;10.122;22.11;3.974;0.408;0.229;0.937;0.945;0.479;4.564;4.68;0.975;1.087;1.273527932;Agrostidinae;;
495.172;555.721;122.815;105.307;44.481;50.529;13.438;25.109;4.736;0.413;0.319;0.857;0.891;0.564;3.31;3.76;0.88;1.983;1.41870777;Agrostidinae;;
532.354;581.278;118.869;108.34;45.728;49.489;13.641;26.035;4.544;0.473;0.324;0.911;0.916;0.569;3.352;3.628;0.924;2.2765;1.500990317;Agrostidinae;;
467.365;489.602;108.993;101.029;44.82;47.847;12.601;24.394;5.6;0.494;0.296;0.927;0.955;0.544;3.557;3.797;0.937;0.7005;1.125089286;Agrostidinae;;
353.302;397.435;90.783;80.038;31.236;35.541;14.533;21.209;5.069;0.539;0.461;0.882;0.889;0.679;2.149;2.446;0.879;2.1975;1.433517459;Agrostidinae;;
830.765;931.333;179.974;161.786;73.924;79.76;14.358;32.523;5.772;0.322;0.194;0.899;0.892;0.44;5.149;5.555;0.927;1.407;1.243762994;Agrostidinae;;
407.787;467.506;103.484;86.831;33.198;38.773;17.911;22.786;5.324;0.479;0.471;0.839;0.872;0.686;1.854;2.165;0.856;3.6315;1.682099925;Agrostidinae;;
279.227;318.362;79.92;69.884;27.283;30.09;15.211;18.855;5.169;0.549;0.478;0.874;0.877;0.691;1.794;1.978;0.907;2.4365;1.471367769;Agrostidinae;;
541.671;603.104;120.509;103.647;42.183;46.906;16.267;26.262;4.957;0.469;0.388;0.86;0.898;0.623;2.593;2.883;0.899;3.1765;1.640810974;Agrostidinae;;
595.52;669.529;131.234;117.928;50.47;56.237;14.637;27.536;5.255;0.435;0.298;0.899;0.889;0.546;3.448;3.842;0.897;2.0635;1.392673644;Agrostidinae;;
514.761;562.981;111.924;103.405;42.93;47.414;14.952;25.601;4.289;0.516;0.356;0.924;0.914;0.596;2.871;3.171;0.905;3.187;1.743063651;Agrostidinae;;
363.979;395.17;86.7;77.333;29.899;34.156;15.479;21.527;5.368;0.608;0.518;0.892;0.921;0.72;1.932;2.207;0.875;2.3715;1.44178465;Agrostidinae;;
610.422;662.855;131.513;122.035;54.552;57.233;13.702;27.879;5.521;0.444;0.261;0.928;0.921;0.511;3.981;4.177;0.953;1.33;1.240898388;Agrostidinae;;
266.495;283.923;71.94;66.732;27.013;29.692;13.107;18.42;5.03;0.647;0.465;0.928;0.939;0.682;2.061;2.265;0.91;1.5235;1.302882704;Agrostidinae;;
369.274;391.653;98.336;91.298;39.794;43.728;11.172;21.684;4.565;0.48;0.297;0.928;0.943;0.545;3.562;3.914;0.91;1.021;1.223658269;Agrostidinae;;
426.913;457.404;93.869;82.468;31.815;34.321;16.697;23.314;6.019;0.609;0.537;0.879;0.933;0.733;1.905;2.055;0.927;2.3295;1.387024423;Agrostidinae;;
370.345;403.947;104.082;86.05;35.405;43.854;12.96;21.715;3.652;0.43;0.376;0.827;0.917;0.613;2.732;3.384;0.807;2.828;1.774370208;Agrostidinae;;
595.954;642.509;131.854;120.541;53.515;55.415;13.562;27.546;5.69;0.431;0.265;0.914;0.928;0.515;3.946;4.086;0.966;1.091;1.191739895;Agrostidinae;;
391.265;428.213;88.773;80.856;30.63;36.299;16.027;22.32;6.038;0.624;0.531;0.911;0.914;0.729;1.911;2.265;0.844;1.9755;1.327177873;Agrostidinae;;
391.439;429.659;86.243;76.381;27.045;31.621;19.819;22.325;6.779;0.661;0.681;0.886;0.911;0.825;1.365;1.596;0.855;3.1305;1.461793775;Agrostidinae;;
368.464;389.528;85.81;79.338;30.959;35.118;15.727;21.66;6.296;0.629;0.489;0.925;0.946;0.7;1.969;2.233;0.882;1.5675;1.248967598;Agrostidinae;;
325.09;364.174;85.638;76.761;29.964;35.201;14.568;20.345;5.111;0.557;0.461;0.896;0.893;0.679;2.057;2.416;0.851;2.173;1.425161417;Agrostidinae;;
340.194;358.393;86.051;79.847;33.194;35.3;12.329;20.812;5.158;0.577;0.393;0.928;0.949;0.627;2.692;2.863;0.94;1.0065;1.195133773;Agrostidinae;;
740.631;868.492;191.273;175.444;80.548;89.252;11.894;30.708;3.981;0.254;0.145;0.917;0.853;0.381;6.772;7.504;0.902;1.966;1.493845767;Agrostidinae;;
358.221;385.743;84.717;78.258;30.373;34.936;15.121;21.357;5.526;0.627;0.494;0.924;0.929;0.703;2.009;2.31;0.869;2.0345;1.368168657;Agrostidinae;;
582.152;695.073;144.507;130.222;58.216;60.343;13.012;27.225;4.425;0.35;0.219;0.901;0.838;0.468;4.474;4.637;0.965;2.081;1.470282486;Agrostidinae;;
464.587;513.19;130.049;119.57;53.361;60.215;10.693;24.321;3.807;0.345;0.208;0.919;0.905;0.456;4.99;5.631;0.886;1.5395;1.404386656;Agrostidinae;;
288.313;310.203;74.246;66.641;25.256;27.328;14.75;19.16;5.631;0.657;0.576;0.898;0.929;0.759;1.712;1.853;0.924;1.744;1.309714083;Agrostidinae;;
245.546;270.72;69.648;63.885;24.718;27.439;12.952;17.682;3.864;0.636;0.512;0.917;0.907;0.715;1.908;2.119;0.901;2.612;1.675983437;Agrostidinae;;
378.475;410.457;87.106;76.481;27.072;31.964;17.503;21.952;6.784;0.627;0.657;0.878;0.922;0.811;1.547;1.826;0.847;1.9675;1.290020637;Agrostidinae;;
297.456;315.514;85.84;80.433;34.638;37.957;10.503;19.461;4.38;0.507;0.316;0.937;0.943;0.562;3.298;3.614;0.913;0.8715;1.198972603;Agrostidinae;;
483.048;552.616;137.588;127.055;56.815;61.943;10.368;24.8;4.166;0.321;0.191;0.923;0.874;0.437;5.48;5.974;0.917;1.018;1.244359097;Agrostidinae;;
641.759;740.285;158.047;145.173;66.034;70.537;12.308;28.585;4.395;0.323;0.187;0.919;0.867;0.433;5.365;5.731;0.936;1.759;1.400227531;Agrostidinae;;
291.496;322.869;86.013;78.463;32.831;35.874;11.587;19.265;4.103;0.495;0.344;0.912;0.903;0.587;2.833;3.096;0.915;1.6905;1.412015598;Agrostidinae;;
307.728;334.941;94.36;87.723;38.65;41.575;9.552;19.794;3.249;0.434;0.262;0.93;0.919;0.512;4.046;4.352;0.93;1.527;1.469990766;Agrostidinae;;
410.42;453.356;96.605;86.753;34.621;39.66;14.744;22.86;5.734;0.553;0.436;0.898;0.905;0.66;2.348;2.69;0.873;1.638;1.285664458;Agrostidinae;;
404.633;444.666;96.879;83.994;32.517;39.937;15.677;22.698;5.386;0.542;0.487;0.867;0.91;0.698;2.074;2.547;0.814;2.4525;1.455347196;Agrostidinae;;
389.095;415.37;91.508;84.574;33.312;37.964;14.71;22.258;5.251;0.584;0.446;0.924;0.937;0.668;2.265;2.581;0.877;2.104;1.400685584;Agrostidinae;;
355.819;398.583;103.639;92.993;40.928;42.143;10.967;21.285;3.723;0.416;0.27;0.897;0.893;0.52;3.732;3.843;0.971;1.7605;1.47287134;Agrostidinae;;
465.976;510.494;111.945;101.286;44.322;46.573;13.552;24.358;4.175;0.467;0.302;0.905;0.913;0.55;3.271;3.437;0.952;2.601;1.622994012;Agrostidinae;;
401.913;439.87;106.038;95.495;40.005;46.036;12.996;22.621;5.295;0.449;0.32;0.901;0.914;0.565;3.078;3.542;0.869;1.203;1.227195467;Agrostidinae;;
535.479;593.78;121.983;106.229;45.394;52.133;15.128;26.111;4.539;0.452;0.331;0.871;0.902;0.575;3.001;3.446;0.871;3.025;1.666446354;Agrostidinae;;
571.996;652.588;148.171;136.55;62.415;64.314;11.424;26.987;3.447;0.327;0.187;0.922;0.877;0.432;5.463;5.63;0.97;2.265;1.657093124;Agrostidinae;;
503.968;539.096;111.55;102.184;43.802;46.943;14.027;25.331;5.781;0.509;0.334;0.916;0.935;0.578;3.123;3.347;0.933;1.2325;1.213198409;Agrostidinae;;
335.911;353.059;82.961;77.501;32.296;34.829;12.928;20.681;5.345;0.613;0.41;0.934;0.951;0.64;2.498;2.694;0.927;1.119;1.209354537;Agrostidinae;;
474.83;526.014;115.223;105.217;45.828;49.856;12.813;24.588;4.346;0.449;0.288;0.913;0.903;0.537;3.577;3.891;0.919;2.0605;1.474114128;Agrostidinae;;
