Area u^2;Convex Area u^2;Perimeter u;Convex Perimeter u;Length (Feret) u;Fiber Length u;Width u;Equivalent Diameter (ArEquivD) u;Inscribed Radius (MinR) u;Form Factor (Circ);Roundness;Convexity;Solidity;Compactness;Aspect Ratio;Elongation;Curl;L1;L2;Subtribe;;
302.881;340.03;102.935;93.608;42.563;44.863;8.852;19.638;2.625;0.359;0.213;0.909;0.891;0.461;4.808;5.068;0.949;1.801;1.686095238;Agrostidinae;;
208.859;238.619;76.293;63.614;26.419;29.435;10.511;16.307;2.759;0.451;0.381;0.834;0.875;0.617;2.514;2.801;0.898;2.4965;1.904856832;Agrostidinae;;
301.589;349.555;103.103;86.382;38.663;41.707;10.494;19.596;3.078;0.357;0.257;0.838;0.863;0.507;3.684;3.974;0.927;2.169;1.704678363;Agrostidinae;;
236.678;264.306;76.584;68.03;28.1;30.645;10.947;17.359;3.468;0.507;0.382;0.888;0.895;0.618;2.567;2.8;0.917;2.0055;1.578287197;Agrostidinae;;
252.755;275.314;72.484;62.979;23.689;26.608;14.78;17.939;4.089;0.605;0.573;0.869;0.918;0.757;1.603;1.8;0.89;3.301;1.807287845;Agrostidinae;;
411.057;501.624;107.878;84.949;31.977;43.975;18.883;22.877;4.828;0.444;0.512;0.787;0.819;0.715;1.693;2.329;0.727;4.6135;1.955571665;Agrostidinae;;
328.519;374.103;101.377;79.49;32.854;39.323;13.59;20.452;3.667;0.402;0.388;0.784;0.878;0.623;2.417;2.894;0.835;3.128;1.853013362;Agrostidinae;;
393.028;460.299;110.897;96.534;39.912;47.959;12.854;22.37;4.717;0.402;0.314;0.87;0.854;0.56;3.105;3.731;0.832;1.71;1.36251855;Agrostidinae;;
325.619;385.328;95.377;79.759;32.269;36.162;14.22;20.362;4.117;0.45;0.398;0.836;0.845;0.631;2.269;2.543;0.892;2.993;1.726985669;Agrostidinae;;
428.455;524.641;115.474;102.89;43.27;48.095;13.317;23.356;4.675;0.404;0.291;0.891;0.817;0.54;3.249;3.612;0.9;1.9835;1.424278075;Agrostidinae;;
707.766;842.13;171.389;135.523;59.024;66.94;16.337;30.019;4.781;0.303;0.259;0.791;0.84;0.509;3.613;4.098;0.882;3.3875;1.70853378;Agrostidinae;;
187.585;200.613;61.403;53.178;19.591;21.617;14.036;15.454;5.037;0.625;0.622;0.866;0.935;0.789;1.396;1.54;0.906;1.981;1.393289657;Agrostidinae;;
221.204;277.067;92.724;75.421;32.534;37.231;9.668;16.782;2.874;0.323;0.266;0.813;0.798;0.516;3.365;3.851;0.874;1.96;1.68197634;Agrostidinae;;
479.529;575.572;122.258;97.402;38.306;48.38;16.826;24.709;4.701;0.403;0.416;0.797;0.833;0.645;2.277;2.875;0.792;3.712;1.78961923;Agrostidinae;;
253.1;295.576;81.691;67.586;27.075;29.512;12.673;17.952;3.326;0.477;0.44;0.827;0.856;0.663;2.136;2.329;0.917;3.0105;1.905141311;Agrostidinae;;
256.401;300.639;88.301;75.595;32.998;35.073;10.832;18.068;1.543;0.413;0.3;0.856;0.853;0.548;3.046;3.238;0.941;3.873;3.510045366;Agrostidinae;;
472.581;555.633;117.25;96.488;39.523;42.965;16.051;24.53;5.695;0.432;0.385;0.823;0.851;0.621;2.462;2.677;0.92;2.3305;1.409218613;Agrostidinae;;
395.152;461.257;108.525;86.035;34.092;38.272;15.452;22.43;4.438;0.422;0.433;0.793;0.857;0.658;2.206;2.477;0.891;3.288;1.740874268;Agrostidinae;;
539.99;595.235;122.005;98.709;39.762;43.469;16.65;26.221;5.627;0.456;0.435;0.809;0.907;0.659;2.388;2.611;0.915;2.698;1.479473965;Agrostidinae;;
386.769;459.424;107.467;85.985;35.603;41.029;15.473;22.191;5.653;0.421;0.388;0.8;0.842;0.623;2.301;2.652;0.868;2.0835;1.368565364;Agrostidinae;;
327.772;373.021;98.499;81.869;34.85;40.211;12.363;20.429;3.679;0.425;0.344;0.831;0.879;0.586;2.819;3.252;0.867;2.5025;1.680212014;Agrostidinae;;
376.319;449.345;117.647;92.327;37.789;44.577;12.882;21.889;3.843;0.342;0.336;0.785;0.837;0.579;2.934;3.46;0.848;2.598;1.676034348;Agrostidinae;;
565.455;660.834;139.962;109.052;45.858;55.564;16.452;26.832;5.634;0.363;0.342;0.779;0.856;0.585;2.787;3.377;0.825;2.592;1.460063898;Agrostidinae;;
208.83;240.895;78.094;67.321;29.615;33.794;10.255;16.306;2.778;0.43;0.303;0.862;0.867;0.551;2.888;3.295;0.876;2.3495;1.84575234;Agrostidinae;;
273.77;302.91;78.261;71.051;28.734;31.936;12.096;18.67;5.333;0.562;0.422;0.908;0.904;0.65;2.376;2.64;0.9;0.715;1.134070879;Agrostidinae;;
204.725;231.184;79.641;70.582;31.68;33.88;8.472;16.145;2.478;0.406;0.26;0.886;0.886;0.51;3.739;3.999;0.935;1.758;1.709443099;Agrostidinae;;
300.154;339.946;89.493;73.77;30.266;33.848;13.331;19.549;3.24;0.471;0.417;0.824;0.883;0.646;2.27;2.539;0.894;3.4255;2.057253086;Agrostidinae;;
181.212;211.66;72.326;62.554;27.462;29.854;9.329;15.19;2.502;0.435;0.306;0.865;0.856;0.553;2.944;3.2;0.92;2.1625;1.864308553;Agrostidinae;;
451.394;517.691;115.573;90.915;36.667;39.797;16.68;23.974;5.001;0.425;0.427;0.787;0.872;0.654;2.198;2.386;0.921;3.339;1.667666467;Agrostidinae;;
217.586;266.748;82.79;70.201;29.116;33.052;10.7;16.645;3.199;0.399;0.327;0.848;0.816;0.572;2.721;3.089;0.881;2.151;1.672397624;Agrostidinae;;
